InvoiceID,RentTime,TotalPrice,PaymentMethod,CreateTime,Status,BookingID,DiscountID,CourtID,CID
INV00075,2024-08-01 20:00:00,683000,MoMo,2024-08-01 20:00:00,Đã thanh toán,BKG01270,DSC020,CRT0081,EMP0049
INV00076,2024-06-23 17:00:00,528000,MoMo,2024-06-23 17:00:00,Đã thanh toán,BKG01011,DSC012,CRT0008,EMP0078
INV00077,2024-08-29 15:00:00,813000,VNPay,2024-08-29 15:00:00,Đang xử lý,BKG00042,,CRT0021,EMP0053
INV00078,2024-12-02 18:00:00,316000,Tiền mặt,2024-12-02 18:00:00,Đã thanh toán,BKG01344,DSC022,CRT0040,EMP0005
INV00079,2024-02-26 19:00:00,757000,Chuyển khoản ngân hàng,2024-02-26 19:00:00,Đã thanh toán,BKG00515,,CRT0011,EMP0118
INV00080,2024-11-05 18:00:00,539000,VNPay,2024-11-05 18:00:00,Chưa thanh toán,BKG00899,,CRT0050,EMP0052
INV00081,2024-10-17 18:00:00,238000,Chuyển khoản ngân hàng,2024-10-17 18:00:00,Đã thanh toán,BKG00784,,CRT0027,EMP0130
INV00082,2024-07-26 17:00:00,951000,Thẻ Visa/Master,2024-07-26 17:00:00,Đã thanh toán,BKG00727,,CRT0011,EMP0121
INV00083,2024-12-31 17:00:00,678000,VNPay,2024-12-31 17:00:00,Chưa thanh toán,BKG00069,DSC033,CRT0097,EMP0042
INV00084,2024-02-17 19:00:00,1127000,Tiền mặt,2024-02-17 19:00:00,Đã thanh toán,BKG00976,,CRT0106,EMP0138
INV00085,2024-05-16 09:00:00,757000,Tiền mặt,2024-05-16 09:00:00,Chưa thanh toán,BKG00474,DSC011,CRT0040,EMP0045
INV00086,2024-10-15 17:00:00,658000,Chuyển khoản ngân hàng,2024-10-15 17:00:00,Đã thanh toán,BKG00487,DSC027,CRT0100,EMP0079
INV00087,2024-08-26 17:00:00,672000,Tiền mặt,2024-08-26 17:00:00,Đã thanh toán,BKG01376,,CRT0087,EMP0043
INV00088,2024-12-02 20:00:00,386000,VNPay,2024-12-02 20:00:00,Đã thanh toán,BKG01238,DSC020,CRT0084,EMP0104
INV00089,2024-02-26 08:00:00,213000,Tiền mặt,2024-02-26 08:00:00,Đã thanh toán,BKG01259,DSC038,CRT0037,EMP0095
INV00090,2024-01-05 18:00:00,508000,Chuyển khoản ngân hàng,2024-01-05 18:00:00,Đã thanh toán,BKG00056,,CRT0047,EMP0098
INV00091,2024-01-18 19:00:00,1376000,Tiền mặt,2024-01-18 19:00:00,Đang xử lý,BKG00171,,CRT0110,EMP0134
INV00092,2024-11-25 19:00:00,1316000,Chuyển khoản ngân hàng,2024-11-25 19:00:00,Đã thanh toán,BKG01383,DSC060,CRT0010,EMP0022
INV00093,2024-04-17 08:00:00,700000,Tiền mặt,2024-04-17 08:00:00,Đã thanh toán,BKG01228,DSC047,CRT0035,EMP0074
INV00094,2024-09-15 17:00:00,361000,Chuyển khoản ngân hàng,2024-09-15 17:00:00,Đã thanh toán,BKG00300,DSC028,CRT0087,EMP0077
INV00095,2024-05-02 14:00:00,309000,ZaloPay,2024-05-02 14:00:00,Đang xử lý,BKG00505,DSC030,CRT0093,EMP0003
INV00096,2024-11-20 17:00:00,128000,Thẻ Visa/Master,2024-11-20 17:00:00,Đã thanh toán,BKG00732,,CRT0092,EMP0136
INV00097,2024-06-17 17:00:00,274000,Tiền mặt,2024-06-17 17:00:00,Đã thanh toán,BKG00430,DSC047,CRT0037,EMP0124
INV00098,2024-08-27 19:00:00,1472000,Tiền mặt,2024-08-27 19:00:00,Đã thanh toán,BKG00380,,CRT0099,EMP0019
INV00099,2024-09-12 22:00:00,558000,MoMo,2024-09-12 22:00:00,Đang xử lý,BKG00361,,CRT0069,EMP0028
INV00100,2024-01-27 20:00:00,456000,Tiền mặt,2024-01-27 20:00:00,Đã thanh toán,BKG00274,,CRT0095,EMP0150
INV00101,2024-04-27 18:00:00,742000,Thẻ Visa/Master,2024-04-27 18:00:00,Chưa thanh toán,BKG01255,,CRT0108,EMP0130
INV00102,2024-02-28 19:00:00,678000,Tiền mặt,2024-02-28 19:00:00,Đã thanh toán,BKG00151,DSC046,CRT0040,EMP0103
INV00103,2024-02-26 20:00:00,1061000,ShopeePay,2024-02-26 20:00:00,Đã thanh toán,BKG00185,DSC028,CRT0002,EMP0134
INV00104,2024-05-04 19:00:00,525000,Chuyển khoản ngân hàng,2024-05-04 19:00:00,Hủy,BKG00805,DSC055,CRT0035,EMP0100
INV00105,2024-07-17 15:00:00,402000,MoMo,2024-07-17 15:00:00,Chưa thanh toán,BKG00712,,CRT0051,EMP0138
INV00106,2024-11-25 20:00:00,552000,Chuyển khoản ngân hàng,2024-11-25 20:00:00,Đã thanh toán,BKG00859,DSC022,CRT0041,EMP0007
INV00107,2024-01-06 17:00:00,724000,Tiền mặt,2024-01-06 17:00:00,Đã thanh toán,BKG00991,,CRT0054,EMP0149
INV00108,2024-03-12 20:00:00,239000,Tiền mặt,2024-03-12 20:00:00,Đã thanh toán,BKG00769,,CRT0003,EMP0008
INV00109,2024-02-23 06:00:00,1273000,Tiền mặt,2024-02-23 06:00:00,Đã thanh toán,BKG00820,,CRT0099,EMP0085
INV00110,2024-07-04 20:00:00,540000,VNPay,2024-07-04 20:00:00,Đã thanh toán,BKG00793,DSC015,CRT0018,EMP0005
INV00111,2024-02-02 19:00:00,506000,MoMo,2024-02-02 19:00:00,Đã thanh toán,BKG00638,,CRT0070,EMP0094
INV00112,2024-04-06 15:00:00,268000,Tiền mặt,2024-04-06 15:00:00,Chưa thanh toán,BKG00283,,CRT0105,EMP0023
INV00113,2024-07-04 20:00:00,1250000,Tiền mặt,2024-07-04 20:00:00,Đã thanh toán,BKG00045,,CRT0052,EMP0012
INV00114,2024-10-28 20:00:00,471000,Thẻ Visa/Master,2024-10-28 20:00:00,Đã thanh toán,BKG01186,DSC038,CRT0073,EMP0135
INV00115,2024-07-21 10:00:00,561000,ZaloPay,2024-07-21 10:00:00,Đã thanh toán,BKG01283,,CRT0032,EMP0029
INV00116,2024-10-31 11:00:00,285000,Thẻ Visa/Master,2024-10-31 11:00:00,Đã thanh toán,BKG00220,,CRT0070,EMP0138
INV00117,2024-12-27 08:00:00,495000,Tiền mặt,2024-12-27 08:00:00,Đã thanh toán,BKG01248,,CRT0090,EMP0101
INV00118,2024-05-19 20:00:00,769000,Tiền mặt,2024-05-19 20:00:00,Chưa thanh toán,BKG00717,,CRT0056,EMP0142
INV00119,2024-08-19 14:00:00,494000,Thẻ Visa/Master,2024-08-19 14:00:00,Đang xử lý,BKG00227,,CRT0047,EMP0023
INV00120,2024-01-18 18:00:00,563000,Thẻ Visa/Master,2024-01-18 18:00:00,Chưa thanh toán,BKG00142,DSC025,CRT0031,EMP0073
INV00121,2024-03-19 17:00:00,491000,Thẻ Visa/Master,2024-03-19 17:00:00,Đã thanh toán,BKG01209,DSC004,CRT0037,EMP0120
INV00122,2024-03-04 20:00:00,1355000,VNPay,2024-03-04 20:00:00,Đã thanh toán,BKG01121,DSC026,CRT0100,EMP0085
INV00123,2024-03-04 20:00:00,100000,VNPay,2024-03-04 20:00:00,Đã thanh toán,BKG00718,,CRT0072,EMP0099
INV00124,2024-12-21 19:00:00,500000,ZaloPay,2024-12-21 19:00:00,Đã thanh toán,BKG00630,,CRT0008,EMP0020
INV00125,2024-07-21 17:00:00,434000,Chuyển khoản ngân hàng,2024-07-21 17:00:00,Đã thanh toán,BKG00965,,CRT0070,EMP0073
INV00126,2024-07-05 10:00:00,778000,Tiền mặt,2024-07-05 10:00:00,Đã thanh toán,BKG01287,DSC035,CRT0030,EMP0035
INV00127,2024-05-14 22:00:00,1172000,Thẻ Visa/Master,2024-05-14 22:00:00,Đã thanh toán,BKG01017,,CRT0002,EMP0150
INV00128,2024-10-28 16:00:00,1167000,Tiền mặt,2024-10-28 16:00:00,Đã thanh toán,BKG00625,,CRT0108,EMP0096
INV00129,2024-01-20 20:00:00,645000,Chuyển khoản ngân hàng,2024-01-20 20:00:00,Đã thanh toán,BKG01337,,CRT0041,EMP0142
INV00130,2024-04-12 18:00:00,532000,Chuyển khoản ngân hàng,2024-04-12 18:00:00,Đã thanh toán,BKG00868,DSC036,CRT0038,EMP0028
INV00131,2024-02-24 17:00:00,305000,VNPay,2024-02-24 17:00:00,Chưa thanh toán,BKG00622,,CRT0060,EMP0117
INV00132,2024-09-18 18:00:00,732000,Chuyển khoản ngân hàng,2024-09-18 18:00:00,Hủy,BKG00404,,CRT0009,EMP0121
INV00133,2024-09-24 20:00:00,440000,Tiền mặt,2024-09-24 20:00:00,Đã thanh toán,BKG01318,,CRT0068,EMP0033
INV00134,2024-08-23 06:00:00,1071000,VNPay,2024-08-23 06:00:00,Đã thanh toán,BKG01285,,CRT0110,EMP0024
INV00135,2024-04-10 20:00:00,329000,Chuyển khoản ngân hàng,2024-04-10 20:00:00,Đang xử lý,BKG00808,,CRT0081,EMP0148
INV00136,2024-06-22 10:00:00,716000,Chuyển khoản ngân hàng,2024-06-22 10:00:00,Hủy,BKG00924,,CRT0067,EMP0076
INV00137,2024-09-23 20:00:00,453000,Chuyển khoản ngân hàng,2024-09-23 20:00:00,Đã thanh toán,BKG01024,,CRT0069,EMP0010
INV00138,2024-08-17 08:00:00,481000,Thẻ Visa/Master,2024-08-17 08:00:00,Chưa thanh toán,BKG01190,,CRT0014,EMP0089
INV00139,2024-12-04 20:00:00,276000,Tiền mặt,2024-12-04 20:00:00,Chưa thanh toán,BKG00233,,CRT0103,EMP0072
INV00140,2024-08-31 19:00:00,244000,MoMo,2024-08-31 19:00:00,Hủy,BKG00120,DSC007,CRT0007,EMP0111
INV00141,2024-03-28 09:00:00,704000,MoMo,2024-03-28 09:00:00,Đã thanh toán,BKG01260,,CRT0080,EMP0130
INV00142,2024-05-31 20:00:00,519000,ShopeePay,2024-05-31 20:00:00,Đã thanh toán,BKG00490,,CRT0023,EMP0145
INV00143,2024-04-24 17:00:00,455000,Tiền mặt,2024-04-24 17:00:00,Đã thanh toán,BKG00846,DSC038,CRT0067,EMP0012
INV00144,2024-02-25 19:00:00,441000,Tiền mặt,2024-02-25 19:00:00,Đã thanh toán,BKG00092,,CRT0061,EMP0095
INV00145,2024-04-20 20:00:00,448000,Chuyển khoản ngân hàng,2024-04-20 20:00:00,Đang xử lý,BKG00865,,CRT0012,EMP0019
INV00146,2024-07-24 17:00:00,441000,MoMo,2024-07-24 17:00:00,Chưa thanh toán,BKG00323,,CRT0106,EMP0066
INV00147,2024-08-10 18:00:00,1431000,Chuyển khoản ngân hàng,2024-08-10 18:00:00,Đã thanh toán,BKG00731,DSC032,CRT0011,EMP0101
INV00148,2024-07-17 15:00:00,734000,Tiền mặt,2024-07-17 15:00:00,Đã thanh toán,BKG00712,,CRT0022,EMP0096
INV00149,2024-11-23 17:00:00,744000,ZaloPay,2024-11-23 17:00:00,Đã thanh toán,BKG00962,,CRT0084,EMP0047
INV00150,2024-10-13 20:00:00,157000,Chuyển khoản ngân hàng,2024-10-13 20:00:00,Đã thanh toán,BKG00308,DSC025,CRT0017,EMP0123
INV00151,2024-12-06 09:00:00,197000,Tiền mặt,2024-12-06 09:00:00,Đã thanh toán,BKG01325,DSC009,CRT0040,EMP0001
INV00152,2024-04-16 18:00:00,221000,ShopeePay,2024-04-16 18:00:00,Hủy,BKG00432,,CRT0037,EMP0120
INV00153,2024-04-08 16:00:00,827000,Chuyển khoản ngân hàng,2024-04-08 16:00:00,Đã thanh toán,BKG00355,,CRT0064,EMP0121
INV00154,2024-06-11 20:00:00,601000,Thẻ Visa/Master,2024-06-11 20:00:00,Đã thanh toán,BKG01315,,CRT0004,EMP0126
INV00155,2024-04-14 20:00:00,622000,Chuyển khoản ngân hàng,2024-04-14 20:00:00,Đã thanh toán,BKG01251,,CRT0019,EMP0011
INV00156,2024-04-04 06:00:00,607000,Chuyển khoản ngân hàng,2024-04-04 06:00:00,Đã thanh toán,BKG00544,DSC057,CRT0090,EMP0001
INV00157,2024-09-17 19:00:00,513000,Chuyển khoản ngân hàng,2024-09-17 19:00:00,Chưa thanh toán,BKG01382,,CRT0093,EMP0027
INV00158,2024-12-22 18:00:00,555000,VNPay,2024-12-22 18:00:00,Hủy,BKG00461,DSC049,CRT0103,EMP0010
INV00159,2024-09-11 18:00:00,756000,MoMo,2024-09-11 18:00:00,Đã thanh toán,BKG01113,DSC016,CRT0009,EMP0147
INV00160,2024-05-25 18:00:00,697000,Tiền mặt,2024-05-25 18:00:00,Đã thanh toán,BKG00781,DSC036,CRT0031,EMP0069
INV00161,2024-06-10 19:00:00,975000,Tiền mặt,2024-06-10 19:00:00,Đã thanh toán,BKG00813,,CRT0097,EMP0004
INV00162,2024-02-28 17:00:00,813000,Tiền mặt,2024-02-28 17:00:00,Đang xử lý,BKG00960,DSC020,CRT0089,EMP0095
INV00163,2024-07-11 10:00:00,1457000,Thẻ Visa/Master,2024-07-11 10:00:00,Đã thanh toán,BKG00772,,CRT0109,EMP0057
INV00164,2024-11-20 06:00:00,1036000,VNPay,2024-11-20 06:00:00,Đã thanh toán,BKG00349,DSC008,CRT0075,EMP0099
INV00165,2024-11-17 17:00:00,461000,Chuyển khoản ngân hàng,2024-11-17 17:00:00,Hủy,BKG00169,,CRT0098,EMP0129
INV00166,2024-09-27 18:00:00,378000,Thẻ Visa/Master,2024-09-27 18:00:00,Hủy,BKG00010,,CRT0059,EMP0085
INV00167,2024-10-02 17:00:00,392000,VNPay,2024-10-02 17:00:00,Đã thanh toán,BKG01350,DSC034,CRT0094,EMP0005
INV00168,2024-02-06 06:00:00,118000,Tiền mặt,2024-02-06 06:00:00,Hủy,BKG00555,DSC058,CRT0081,EMP0063
INV00169,2024-03-07 15:00:00,116000,Chuyển khoản ngân hàng,2024-03-07 15:00:00,Đã thanh toán,BKG00021,,CRT0017,EMP0090
INV00170,2024-05-10 10:00:00,351000,Chuyển khoản ngân hàng,2024-05-10 10:00:00,Đã thanh toán,BKG00328,,CRT0030,EMP0106
INV00171,2024-11-30 15:00:00,501000,Chuyển khoản ngân hàng,2024-11-30 15:00:00,Đã thanh toán,BKG01007,DSC033,CRT0024,EMP0064
INV00172,2024-03-07 19:00:00,230000,Thẻ Visa/Master,2024-03-07 19:00:00,Chưa thanh toán,BKG01058,,CRT0016,EMP0149
INV00173,2024-12-02 20:00:00,144000,ZaloPay,2024-12-02 20:00:00,Đã thanh toán,BKG01238,DSC038,CRT0092,EMP0068
INV00174,2024-01-23 14:00:00,417000,VNPay,2024-01-23 14:00:00,Hủy,BKG00057,,CRT0096,EMP0147
INV00175,2024-12-10 16:00:00,690000,Chuyển khoản ngân hàng,2024-12-10 16:00:00,Đã thanh toán,BKG01290,DSC038,CRT0089,EMP0139
INV00176,2024-06-03 17:00:00,463000,Tiền mặt,2024-06-03 17:00:00,Chưa thanh toán,BKG00792,,CRT0071,EMP0087
INV00177,2024-04-22 20:00:00,313000,MoMo,2024-04-22 20:00:00,Chưa thanh toán,BKG01205,,CRT0038,EMP0044
INV00178,2024-11-03 14:00:00,142000,Tiền mặt,2024-11-03 14:00:00,Đã thanh toán,BKG00573,,CRT0049,EMP0135
INV00179,2024-05-16 17:00:00,270000,Chuyển khoản ngân hàng,2024-05-16 17:00:00,Đã thanh toán,BKG01308,,CRT0071,EMP0135
INV00180,2024-09-15 20:00:00,325000,Chuyển khoản ngân hàng,2024-09-15 20:00:00,Đã thanh toán,BKG01013,DSC034,CRT0015,EMP0068
INV00181,2024-09-29 21:00:00,728000,MoMo,2024-09-29 21:00:00,Đã thanh toán,BKG00318,,CRT0008,EMP0146
INV00182,2024-04-27 20:00:00,572000,ZaloPay,2024-04-27 20:00:00,Chưa thanh toán,BKG00767,DSC047,CRT0024,EMP0148
INV00183,2024-10-17 18:00:00,697000,MoMo,2024-10-17 18:00:00,Đang xử lý,BKG00322,,CRT0001,EMP0138
INV00184,2024-03-24 11:00:00,942000,VNPay,2024-03-24 11:00:00,Đã thanh toán,BKG00148,,CRT0107,EMP0059
INV00185,2024-02-11 14:00:00,666000,Chuyển khoản ngân hàng,2024-02-11 14:00:00,Đã thanh toán,BKG00984,,CRT0024,EMP0122
INV00186,2024-05-19 19:00:00,340000,MoMo,2024-05-19 19:00:00,Đã thanh toán,BKG00371,DSC019,CRT0064,EMP0025
INV00187,2024-02-16 17:00:00,320000,MoMo,2024-02-16 17:00:00,Hủy,BKG00034,DSC012,CRT0027,EMP0023
INV00188,2024-11-29 08:00:00,464000,Tiền mặt,2024-11-29 08:00:00,Chưa thanh toán,BKG00623,,CRT0029,EMP0066
INV00189,2024-02-29 19:00:00,347000,MoMo,2024-02-29 19:00:00,Đã thanh toán,BKG00137,,CRT0043,EMP0043
INV00190,2024-01-18 20:00:00,314000,Chuyển khoản ngân hàng,2024-01-18 20:00:00,Đã thanh toán,BKG00471,DSC030,CRT0062,EMP0046
